TenantId,SourceSystem,TimeGenerated [Jerusalem],Computer,RawData,Variable2,Instance,AlertSeverity,TransactionCode,ABAPProgramName,AuditClassID_d,AlertSeverityText,TerminalIPv6,Variable1,Variable2,Variable3,Variable4,SAPProcesType,SAPWPName,SystemNumber,Host,Message,tags,Email,AlertSeverity_d,path,AlertValue_d,_timestamp_t [Jerusalem],_version,MessageContainerID,MonitoringObjectName,MessageClass,ClientID,MonitorShortName,SystemID,MonitorContextName,User,MessageID,MessageText,host,type
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 4:06:36.000 PM",,,,vhcala4hci_A4H_00,2,,RGWMON_SEND_NILIST,8,Low,,RGWMON_SEND_NILIST,,,,D2,2,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RGWMON_SEND_NILIST started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 4:06:37.000 PM",,,,vhcala4hci_A4H_00,2,,CSM_LOAD_APPSRV_DATA,8,Low,,CSM_LOAD_APPSRV_DATA,,,,D2,2,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report CSM_LOAD_APPSRV_DATA started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 4:06:37.000 PM",,,,vhcala4hci_A4H_00,2,,RSDSBUFF,8,Low,,RSDSBUFF,,,,D2,2,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RSDSBUFF started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 4:06:37.000 PM",,,,vhcala4hci_A4H_00,2,,RSDSDEFLOAD,8,Low,,RSDSDEFLOAD,,,,D2,2,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RSDSDEFLOAD started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 4:06:37.000 PM",,,,vhcala4hci_A4H_00,2,,RSDSFSYS,8,Low,,RSDSFSYS,,,,D2,2,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RSDSFSYS started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 4:06:37.000 PM",,,,vhcala4hci_A4H_00,2,,RSDSOSCO,8,Low,,RSDSOSCO,,,,D2,2,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RSDSOSCO started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 4:06:37.000 PM",,,,vhcala4hci_A4H_00,2,,RSDSSPTI,8,Low,,RSDSSPTI,,,,D2,2,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RSDSSPTI started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 4:06:37.000 PM",,,,vhcala4hci_A4H_00,2,,RSDSUSER,8,Low,,RSDSUSER,,,,D2,2,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RSDSUSER started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 4:06:37.000 PM",,,,vhcala4hci_A4H_00,2,,RSDS_BP_FREEWP,8,Low,,RSDS_BP_FREEWP,,,,D2,2,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RSDS_BP_FREEWP started,,
8ecf8077-cf51-4820-aadd-14040956f35d,RestAPI,"7/21/2021, 4:06:37.000 PM",,,,vhcala4hci_A4H_00,2,,RSDS_DBMEMBER,8,Low,,RSDS_DBMEMBER,,,,D2,2,0,vhcala4hci,,,,2,,,,,,,Report Start,0,,a4h,,SAPSYS,AUW,Report RSDS_DBMEMBER started,,
